OrderDate,Region,Category,SubCategory,Sales,Profit,Quantity,Discount
2024-01-05,East,Office Supplies,Paper,289.50,45.20,5,0.10
2024-01-07,West,Technology,Phones,899.99,-120.50,2,0.15
2024-01-10,South,Furniture,Chairs,450.00,67.30,3,0.20
2024-01-12,Central,Office Supplies,Binders,125.00,22.10,8,0.05
2024-01-15,East,Technology,Laptops,1299.99,185.40,1,0.00
2024-01-18,West,Furniture,Tables,650.00,-85.20,2,0.25
2024-01-20,South,Office Supplies,Markers,45.50,12.30,12,0.10
2024-01-22,Central,Technology,Accessories,189.99,28.70,6,0.00
2024-01-25,East,Furniture,Sofas,1850.00,210.50,1,0.15
2024-01-27,West,Office Supplies,Labels,32.00,8.50,15,0.05
2024-01-30,South,Technology,Printers,449.99,52.30,1,0.10
2024-02-02,Central,Furniture,Cabinets,980.00,125.80,1,0.20
2024-02-05,East,Office Supplies,Envelopes,28.50,6.20,20,0.00
2024-02-07,West,Technology,Phones,750.00,95.40,3,0.15
2024-02-10,South,Furniture,Chairs,520.00,78.50,4,0.10
2024-02-12,Central,Office Supplies,Scissors,18.90,5.10,10,0.05
2024-02-15,East,Technology,Laptops,1450.00,198.20,1,0.00
2024-02-17,West,Furniture,Tables,780.00,-95.30,2,0.30
2024-02-20,South,Office Supplies,Paper,312.00,48.50,6,0.10
2024-02-22,Central,Technology,Accessories,156.00,24.80,8,0.05
2024-02-25,East,Furniture,Sofas,2100.00,245.60,1,0.20
2024-02-27,West,Office Supplies,Markers,52.00,14.20,15,0.00
2024-03-01,South,Technology,Phones,920.00,108.50,2,0.10
2024-03-03,Central,Furniture,Chairs,480.00,72.10,3,0.15
2024-03-06,East,Office Supplies,Labels,35.00,9.20,18,0.05
2024-03-08,West,Technology,Laptops,1380.00,192.40,1,0.00
2024-03-10,South,Furniture,Tables,720.00,-88.40,2,0.25
2024-03-13,Central,Office Supplies,Envelopes,30.00,7.10,22,0.10
2024-03-15,East,Technology,Printers,475.00,58.90,1,0.05
2024-03-17,West,Furniture,Cabinets,1100.00,142.50,1,0.15
2024-03-20,South,Office Supplies,Scissors,22.00,6.30,12,0.00
2024-03-22,Central,Technology,Phones,850.00,102.80,2,0.10
2024-03-25,East,Furniture,Chairs,510.00,76.40,4,0.20
2024-03-27,West,Office Supplies,Paper,298.00,44.80,7,0.05
