date,transactions,avg_order_value,total_revenue,loyalty_signups,day_of_week,is_holiday,weather
2024-01-01,145,6.80,986.00,12,Monday,1,Sunny
2024-01-02,89,5.90,525.10,3,Tuesday,0,Cloudy
2024-01-03,95,6.10,579.50,4,Wednesday,0,Rainy
2024-01-04,102,6.25,637.50,5,Thursday,0,Cloudy
2024-01-05,118,6.40,755.20,7,Friday,0,Sunny
2024-01-06,156,7.10,1107.60,14,Saturday,0,Sunny
2024-01-07,142,6.95,986.90,11,Sunday,0,Cloudy
2024-01-08,91,5.85,532.35,3,Monday,0,Rainy
2024-01-09,87,5.75,500.25,2,Tuesday,0,Rainy
2024-01-10,93,6.00,558.00,4,Wednesday,0,Cloudy
2024-01-11,98,6.15,602.70,5,Thursday,0,Sunny
2024-01-12,115,6.35,730.25,6,Friday,0,Sunny
2024-01-13,149,7.05,1050.45,13,Saturday,0,Cloudy
2024-01-14,138,6.85,945.30,10,Sunday,0,Sunny
2024-01-15,152,7.20,1094.40,15,Monday,1,Sunny
2024-01-16,88,5.80,510.40,3,Tuesday,0,Rainy
2024-01-17,94,6.05,568.70,4,Wednesday,0,Rainy
2024-01-18,100,6.20,620.00,5,Thursday,0,Cloudy
2024-01-19,116,6.38,740.08,7,Friday,0,Sunny
2024-01-20,153,7.08,1083.24,14,Saturday,0,Sunny
2024-01-21,140,6.90,966.00,11,Sunday,0,Cloudy
2024-01-22,90,5.88,529.20,3,Monday,0,Rainy
2024-01-23,86,5.72,491.92,2,Tuesday,0,Rainy
2024-01-24,92,6.02,553.84,4,Wednesday,0,Cloudy
2024-01-25,99,6.18,611.82,5,Thursday,0,Sunny
2024-01-26,117,6.42,751.14,7,Friday,0,Sunny
2024-01-27,155,7.12,1103.60,14,Saturday,0,Sunny
2024-01-28,141,6.92,975.72,11,Sunday,0,Cloudy
2024-01-29,91,5.90,536.90,3,Monday,0,Cloudy
2024-01-30,88,5.78,508.64,3,Tuesday,0,Rainy
2024-01-31,94,6.08,571.52,4,Wednesday,0,Rainy
2024-02-01,101,6.22,628.22,5,Thursday,0,Cloudy
2024-02-02,119,6.45,767.55,7,Friday,0,Sunny
2024-02-03,158,7.15,1129.70,15,Saturday,0,Sunny
2024-02-04,144,6.98,1005.12,12,Sunday,0,Sunny
2024-02-05,92,5.92,544.64,3,Monday,0,Cloudy
2024-02-06,89,5.80,516.20,3,Tuesday,0,Rainy
2024-02-07,96,6.10,585.60,4,Wednesday,0,Rainy
2024-02-08,103,6.28,646.84,5,Thursday,0,Cloudy
2024-02-09,120,6.48,777.60,7,Friday,0,Sunny
2024-02-10,160,7.18,1148.80,16,Saturday,0,Sunny
2024-02-11,146,7.00,1022.00,12,Sunday,0,Cloudy
2024-02-12,93,5.95,553.35,3,Monday,0,Rainy
