customer_id,company_size,plan,monthly_usage,support_tickets,contract_length,monthly_revenue,churned,days_since_last_login,num_users,industry
CUST0001,Small,Basic,219.17,10,6,336.13,0,11,13,Technology
CUST0002,Small,Basic,229.0,10,6,360.97,1,53,11,Technology
CUST0003,Small,Basic,135.06,4,12,314.55,0,27,5,Retail
CUST0004,Small,Basic,251.78,9,12,419.54,1,68,17,Healthcare
CUST0005,Small,Basic,194.34,3,12,379.79,0,5,14,Manufacturing
CUST0006,Enterprise,Enterprise,1208.55,2,36,1714.71,0,5,159,Healthcare
CUST0007,Medium,Professional,365.36,4,12,922.3,0,17,29,Finance
CUST0008,Small,Basic,255.45,7,6,399.68,1,51,15,Retail
CUST0009,Enterprise,Enterprise,1016.51,3,36,1947.11,0,4,245,Finance
CUST0010,Medium,Professional,444.8,2,24,1367.3,0,32,59,Finance
CUST0011,Enterprise,Enterprise,1177.13,3,36,2928.81,0,12,139,Technology
CUST0012,Medium,Professional,572.68,5,12,807.67,0,17,60,Manufacturing
CUST0013,Small,Basic,292.97,4,12,335.51,0,64,18,Healthcare
CUST0014,Enterprise,Enterprise,1131.5,0,24,2732.12,0,10,229,Healthcare
CUST0015,Enterprise,Enterprise,768.52,3,24,4155.44,0,2,178,Technology
CUST0016,Enterprise,Enterprise,912.05,3,24,2874.9,0,6,132,Retail
CUST0017,Medium,Professional,659.85,4,24,897.87,0,7,50,Finance
CUST0018,Small,Basic,107.24,2,6,324.11,1,42,12,Technology
CUST0019,Small,Basic,110.75,9,12,355.09,1,52,20,Finance
CUST0020,Medium,Professional,569.35,6,12,1171.55,1,6,47,Technology
CUST0021,Enterprise,Enterprise,812.15,1,36,3904.31,0,8,127,Healthcare
CUST0022,Medium,Professional,687.6,2,12,1496.03,0,10,60,Technology
CUST0023,Small,Basic,296.33,6,6,350.7,1,58,17,Manufacturing
CUST0024,Medium,Professional,531.67,5,12,1318.82,0,3,56,Retail
