Age,Department,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
19,Research & Development,24,2,2,Female,3,4,1,14240,3,Yes,23,3,3,0,12,3,4,1,0,1,1,Yes
35,Research & Development,5,2,4,Male,3,2,2,5320,1,Yes,12,3,2,3,5,3,4,11,9,3,11,Yes
36,Sales,3,4,4,Male,3,4,1,13800,2,No,21,3,3,0,10,3,3,14,6,4,14,No
21,Research & Development,8,4,4,Male,2,4,3,12690,5,Yes,25,3,4,1,9,2,3,2,2,2,1,No
26,Sales,17,3,4,Female,2,1,3,6310,4,No,15,3,3,0,35,4,1,1,1,1,0,No
34,Human Resources,17,4,3,Male,3,4,3,12960,1,No,11,2,4,3,0,3,3,3,2,2,1,No
23,Research & Development,3,4,4,Female,3,1,3,5480,8,Yes,21,3,3,3,34,4,3,5,2,3,5,No
22,Sales,11,1,3,Male,1,3,1,15670,0,Yes,23,3,3,0,31,2,2,4,4,3,1,No
24,Research & Development,4,3,2,Male,4,1,3,4670,4,Yes,14,3,4,0,12,1,3,3,1,2,3,No
24,Human Resources,2,3,3,Male,2,3,2,8540,2,No,17,3,4,0,0,6,3,6,6,3,2,No
53,Research & Development,22,4,2,Male,4,3,3,12220,5,Yes,21,3,3,3,10,1,3,11,1,9,1,No
55,Research & Development,20,1,1,Female,3,2,2,9560,4,No,20,3,2,1,29,2,4,4,0,3,4,No
31,Sales,17,2,4,Female,4,2,1,6950,6,No,12,3,4,2,0,3,3,10,1,2,4,Yes
31,Sales,23,2,3,Female,3,2,4,5360,0,No,17,3,1,0,8,3,3,11,7,8,11,No
27,Sales,18,1,2,Male,3,1,2,5630,8,No,25,2,2,2,6,2,3,6,4,5,1,No
44,Research & Development,1,2,4,Female,3,3,3,12290,1,Yes,23,3,3,0,30,2,4,14,5,4,13,No
30,Sales,13,2,4,Female,2,3,2,8270,10,No,20,4,1,3,11,3,4,0,0,0,0,No
50,Research & Development,4,3,3,Male,3,1,4,4660,3,No,15,3,3,0,4,5,4,20,3,9,16,No
36,Sales,18,2,3,Female,3,4,3,14580,2,No,19,1,2,1,37,3,3,14,7,10,3,No
23,Sales,10,3,3,Male,4,3,3,9920,1,Yes,17,2,2,1,4,3,4,4,1,3,3,Yes
18,Research & Development,29,4,4,Male,3,1,4,7900,3,Yes,20,3,4,1,29,3,4,0,0,0,0,No
46,Human Resources,29,2,4,Male,3,4,2,12930,5,No,14,3,3,2,15,2,3,17,2,4,4,No
31,Sales,3,3,2,Male,2,4,2,16990,5,No,22,1,4,1,30,0,3,12,6,6,8,No
35,Research & Development,14,3,2,Female,3,3,4,6550,8,No,17,3,4,1,1,1,3,14,2,0,4,No
39,Research & Development,25,4,2,Female,3,4,2,12060,5,Yes,13,4,2,0,2,4,4,6,6,0,4,Yes
47,Human Resources,23,2,2,Female,4,3,3,13860,1,No,14,3,4,1,24,2,4,2,2,2,2,No
56,Research & Development,26,2,4,Female,3,2,2,9350,3,No,21,3,4,0,23,3,4,9,6,2,8,No
45,Research & Development,27,4,2,Female,4,1,4,8010,1,No,25,3,3,0,20,1,3,25,8,10,8,No
53,Human Resources,1,3,2,Male,3,3,2,12800,3,No,22,3,1,0,25,3,3,23,15,11,13,No
32,Sales,4,4,2,Female,4,3,1,9010,5,Yes,22,3,4,1,6,4,3,5,1,2,0,Yes
21,Sales,18,2,4,Female,3,1,1,7720,2,No,13,3,4,0,30,1,2,3,0,0,1,Yes
53,Sales,25,3,3,Female,3,2,4,4270,2,No,13,3,3,0,6,5,3,13,4,10,1,No
28,Research & Development,1,3,3,Male,1,2,2,12320,6,Yes,21,3,2,2,37,3,4,6,0,4,1,Yes
37,Sales,20,4,3,Male,2,3,3,14430,8,No,14,3,1,0,27,3,3,0,0,0,0,No
54,Research & Development,19,5,4,Female,2,1,3,8440,3,No,12,4,2,1,31,5,3,26,10,10,21,No
43,Sales,27,4,1,Male,2,1,3,2660,7,No,11,1,4,1,3,1,3,24,15,14,24,No
36,Research & Development,15,4,3,Male,3,3,3,10060,2,Yes,22,3,2,2,7,3,2,4,3,2,4,No
53,Sales,5,3,4,Male,4,4,2,18220,6,No,16,4,3,2,18,3,4,31,9,14,30,No
42,Research & Development,15,5,4,Female,2,2,4,5800,2,No,12,3,4,0,9,3,1,16,10,3,14,No
59,Research & Development,5,1,4,Male,3,2,1,11570,2,No,22,3,4,1,31,4,1,4,1,2,1,No
58,Human Resources,23,4,3,Female,4,1,3,4130,2,No,25,2,3,1,11,1,2,24,19,7,15,No
