experiment_id,model_type,accuracy,f1_score,training_time,dataset_version,timestamp,hyperparameters,notes
1,RandomForest,0.8423,0.8156,12.34,v1.0,2024-01-15 09:23:11,"{""n_estimators"": 100, ""max_depth"": 10, ""min_samples_split"": 5}","Baseline - modelo inicial"
2,RandomForest,0.8567,0.8312,18.56,v1.0,2024-01-15 10:45:22,"{""n_estimators"": 150, ""max_depth"": 12, ""min_samples_split"": 4}","Aumenté n_estimators para mejorar generalización"
3,RandomForest,0.8534,0.8289,24.12,v1.0,2024-01-15 14:12:33,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_split"": 3}","Sobreajuste detectado, reduzco max_depth"
4,XGBoost,0.8678,0.8456,8.45,v1.0,2024-01-16 09:34:44,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 6}","Primer XGBoost, buenos resultados"
5,XGBoost,0.8734,0.8523,12.23,v1.0,2024-01-16 11:22:55,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 8}","Reduc learning_rate, más árboles"
6,XGBoost,0.8689,0.8478,6.78,v1.0,2024-01-16 15:44:06,"{""n_estimators"": 80, ""learning_rate"": 0.12, ""max_depth"": 5}","Configuración más ligera para producción"
7,LogisticRegression,0.7912,0.7645,1.23,v1.0,2024-01-17 09:15:17,"{""C"": 1.0, ""max_iter"": 1000}","Baseline lineal"
8,LogisticRegression,0.7956,0.7698,1.18,v1.0,2024-01-17 10:28:28,"{""C"": 0.5, ""max_iter"": 1000, ""penalty"": ""l2""}","Regularización L2"
9,LogisticRegression,0.7834,0.7567,1.34,v1.0,2024-01-17 11:45:39,"{""C"": 2.0, ""max_iter"": 1500, ""penalty"": ""l1""}","Regularización L1, menos features"
10,GradientBoosting,0.8567,0.8345,15.67,v1.0,2024-01-18 09:22:40,"{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 5}","GradientBoosting estándar"
11,GradientBoosting,0.8623,0.8412,22.34,v1.0,2024-01-18 11:15:51,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 7}","Más profundidad, mejor rendimiento"
12,GradientBoosting,0.8598,0.8389,11.23,v1.0,2024-01-18 14:33:02,"{""n_estimators"": 80, ""learning_rate"": 0.12, ""max_depth"": 4}","Configuración rápida"
13,RandomForest,0.8789,0.8567,19.45,v1.1,2024-02-01 09:12:13,"{""n_estimators"": 150, ""max_depth"": 12, ""min_samples_split"": 4}","Dataset v1.1:limpieza adicional"
14,XGBoost,0.8834,0.8623,10.56,v1.1,2024-02-01 11:34:24,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 8}","Mejora con nuevos datos limpiados"
15,LightGBM,0.8812,0.8598,5.67,v1.1,2024-02-02 09:45:35,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 8}","LightGBM más rápido que XGBoost"
16,LightGBM,0.8867,0.8656,4.23,v1.1,2024-02-02 11:22:46,"{""n_estimators"": 200, ""learning_rate"": 0.07, ""num_leaves"": 31}","Optimizando num_leaves"
17,LightGBM,0.8901,0.8701,3.89,v1.1,2024-02-02 14:15:57,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""num_leaves"": 40}","Mejor configuración hasta ahora"
18,RandomForest,0.8845,0.8634,22.34,v1.1,2024-02-03 09:33:08,"{""n_estimators"": 200, ""max_depth"": 15, ""min_samples_split"": 3}","Ajuste fino Random Forest"
19,XGBoost,0.8889,0.8678,9.12,v1.1,2024-02-03 11:45:19,"{""n_estimators"": 180, ""learning_rate"": 0.07, ""max_depth"": 7}","XGBoost optimizado"
20,GradientBoosting,0.8756,0.8545,18.90,v1.1,2024-02-03 14:22:30,"{""n_estimators"": 120, ""learning_rate"": 0.09, ""max_depth"": 6}","GB con balance rapidez-calidad"
21,LightGBM,0.8923,0.8723,4.56,v1.2,2024-02-15 09:12:41,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""num_leaves"": 40}","Dataset v1.2: features derivadas"
22,XGBoost,0.8912,0.8712,10.23,v1.2,2024-02-15 11:34:52,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 8}","XGBoost con features derivadas"
23,RandomForest,0.8878,0.8667,25.67,v1.2,2024-02-15 14:45:03,"{""n_estimators"": 250, ""max_depth"": 15, ""min_samples_split"": 3}","RF más complejo"
24,CatBoost,0.8934,0.8734,12.34,v1.2,2024-02-16 09:22:14,"{""iterations"": 200, ""learning_rate"": 0.06, ""depth"": 8}","CatBoost con manejo automático de categóricos"
25,CatBoost,0.8956,0.8756,15.67,v1.2,2024-02-16 11:45:25,"{""iterations"": 250, ""learning_rate"": 0.05, ""depth"": 10}","CatBoost más profundo"
26,LightGBM,0.8945,0.8745,5.12,v1.2,2024-02-16 14:12:36,"{""n_estimators"": 250, ""learning_rate"": 0.05, ""num_leaves"": 50}","LightGBM ajustado"
27,XGBoost,0.8967,0.8767,11.45,v1.2,2024-02-17 09:33:47,"{""n_estimators"": 250, ""learning_rate"": 0.05, ""max_depth"": 8}","XGBoost optimizado v2"
28,RandomForest,0.8901,0.8701,28.90,v1.2,2024-02-17 11:45:58,"{""n_estimators"": 300, ""max_depth"": 18, ""min_samples_split"": 2}","RF máximo rendimiento"
29,Ensemble,0.9012,0.8823,35.67,v1.2,2024-02-18 09:22:09,"{""models"": [""LightGBM"", ""XGBoost"", ""CatBoost""], ""method"": ""voting""}","Ensemble de los 3 mejores"
30,Ensemble,0.9034,0.8845,42.34,v1.2,2024-02-18 11:45:20,"{""models"": [""LightGBM"", ""XGBoost"", ""CatBoost"", ""RandomForest""], ""method"": ""stacking""}","Stacking ensemble"
31,LightGBM,0.9023,0.8834,5.89,v1.3,2024-03-01 09:12:31,"{""n_estimators"": 300, ""learning_rate"": 0.04, ""num_leaves"": 60}","Dataset v1.3: normalización mejorada"
32,XGBoost,0.9012,0.8823,12.34,v1.3,2024-03-01 11:34:42,"{""n_estimators"": 300, ""learning_rate"": 0.04, ""max_depth"": 10}","XGBoost con normalización"
33,CatBoost,0.9045,0.8856,14.56,v1.3,2024-03-01 14:45:53,"{""iterations"": 300, ""learning_rate"": 0.04, ""depth"": 10}","CatBoost optimizado v2"
