week,channel,spend_usd,impressions,clicks,leads,attributed_revenue_usd,cpl_usd,roas,region,audience_segment
2022-01-03,SEO,2083.66,2604,73,2,320.14,1041.83,0.15,Norte,Jovenes 18-25
2022-01-03,Paid Search,3451.22,1380,47,1,196.47,3451.22,0.06,Norte,Adultos 26-40
2022-01-03,Paid Search,3577.75,1431,64,2,431.06,1788.87,0.12,Centro,Jovenes 18-25
2022-01-03,Social,2413.92,2011,48,1,136.67,2413.92,0.06,Sur,Profesionales 41-55
2022-01-03,Social,1972.69,1643,43,1,140.64,1972.69,0.07,Centro,Jovenes 18-25
2022-01-03,Email,1282.7,4275,780,65,12368.38,19.73,9.64,Centro,Profesionales 41-55
2022-01-03,Display,3274.26,3638,31,1,106.94,3274.26,0.03,Centro,Jovenes 18-25
2022-01-10,SEO,2213.19,2766,111,4,706.58,553.3,0.32,Centro,Adultos 26-40
2022-01-10,Paid Search,3229.14,1291,47,1,258.43,3229.14,0.08,Norte,Adultos 26-40
2022-01-10,Paid Search,3394.41,1357,51,1,199.76,3394.41,0.06,Sur,Profesionales 41-55
2022-01-10,Social,2470.4,2058,63,1,121.93,2470.4,0.05,Centro,Mayores 55+
2022-01-10,Social,2083.92,1736,42,1,172.58,2083.92,0.08,Centro,Adultos 26-40
2022-01-10,Email,1255.96,4186,722,58,11409.07,21.65,9.08,Centro,Adultos 26-40
2022-01-10,Display,2956.76,3285,26,1,124.06,2956.76,0.04,Occidente,Profesionales 41-55
2022-01-17,SEO,1831.59,2289,96,4,602.18,457.9,0.33,Norte,Jovenes 18-25
2022-01-17,Paid Search,3010.06,1204,43,1,228.48,3010.06,0.08,Occidente,Mayores 55+
2022-01-17,Paid Search,3456.66,1382,57,1,224.68,3456.66,0.07,Norte,Jovenes 18-25
2022-01-17,Social,2362.11,1968,55,1,158.46,2362.11,0.07,Norte,Profesionales 41-55
2022-01-17,Social,2196.16,1830,50,1,172.55,2196.16,0.08,Centro,Adultos 26-40
2022-01-17,Email,1202.77,4009,608,42,9548.01,28.64,7.94,Sur,Adultos 26-40
2022-01-17,Display,3078.96,3421,23,1,140.28,3078.96,0.05,Norte,Profesionales 41-55
2022-01-24,SEO,1993.16,2491,73,3,644.83,664.39,0.32,Centro,Adultos 26-40
2022-01-24,Paid Search,2914.39,1165,56,2,367.08,1457.19,0.13,Occidente,Jovenes 18-25
2022-01-24,Paid Search,3841.81,1536,65,1,234.06,3841.81,0.06,Sur,Profesionales 41-55
2022-01-24,Social,2258.6,1882,54,1,175.73,2258.6,0.08,Sur,Profesionales 41-55
2022-01-24,Social,2172.12,1810,54,1,173.98,2172.12,0.08,Occidente,Jovenes 18-25
2022-01-24,Email,1109.25,3697,549,25,5107.84,44.37,4.6,Sur,Jovenes 18-25
2022-01-24,Display,2788.15,3097,26,1,139.46,2788.15,0.05,Centro,Jovenes 18-25
2022-01-31,SEO,2008.49,2510,80,3,548.47,669.5,0.27,Occidente,Adultos 26-40
2022-01-31,Paid Search,3646.9,1458,68,2,369.06,1823.45,0.1,Occidente,Profesionales 41-55
2022-01-31,Paid Search,3282.97,1313,54,2,470.51,1641.48,0.14,Norte,Jovenes 18-25
2022-01-31,Social,2174.56,1812,47,1,134.92,2174.56,0.06,Sur,Mayores 55+
2022-01-31,Social,1998.2,1665,40,1,172.47,1998.2,0.09,Norte,Mayores 55+
2022-01-31,Email,1310.89,4369,898,44,9335.55,29.79,7.12,Norte,Jovenes 18-25
2022-01-31,Display,3609.31,4010,36,1,119.31,3609.31,0.03,Sur,Mayores 55+
2022-02-07,SEO,2241.47,2801,84,2,344.22,1120.73,0.15,Occidente,Profesionales 41-55
2022-02-07,Paid Search,3282.39,1312,65,3,674.72,1094.13,0.21,Occidente,Adultos 26-40
2022-02-07,Paid Search,3047.42,1218,45,1,240.74,3047.42,0.08,Norte,Profesionales 41-55
2022-02-07,Social,1942.42,1618,46,1,171.16,1942.42,0.09,Sur,Jovenes 18-25
2022-02-07,Social,2549.64,2124,49,1,155.7,2549.64,0.06,Sur,Mayores 55+
2022-02-07,Email,1063.16,3543,737,40,8302.46,26.58,7.81,Norte,Mayores 55+
2022-02-07,Display,3351.08,3723,30,1,108.52,3351.08,0.03,Centro,Adultos 26-40
2022-02-14,SEO,1859.37,2324,69,3,530.76,619.79,0.29,Norte,Jovenes 18-25
2022-02-14,Paid Search,3317.95,1327,66,3,547.34,1105.98,0.16,Sur,Profesionales 41-55
2022-02-14,Paid Search,2989.52,1195,47,1,197.5,2989.52,0.07,Centro,Adultos 26-40
2022-02-14,Social,2198.46,1832,52,1,179.03,2198.46,0.08,Norte,Profesionales 41-55
2022-02-14,Social,2530.14,2108,49,1,135.87,2530.14,0.05,Norte,Adultos 26-40
2022-02-14,Email,1118.05,3726,698,51,8990.68,21.92,8.04,Centro,Mayores 55+
2022-02-14,Display,2961.08,3290,30,1,126.45,2961.08,0.04,Centro,Jovenes 18-25
2022-02-21,SEO,1702.13,2127,82,3,488.58,567.38,0.29,Occidente,Mayores 55+
2022-02-21,Paid Search,3421.39,1368,48,2,473.62,1710.7,0.14,Sur,Jovenes 18-25
2022-02-21,Paid Search,3697.27,1478,64,1,187.22,3697.27,0.05,Centro,Profesionales 41-55
2022-02-21,Social,2508.12,2090,65,1,173.94,2508.12,0.07,Sur,Adultos 26-40
2022-02-21,Social,2352.18,1960,51,1,172.48,2352.18,0.07,Sur,Adultos 26-40
2022-02-21,Email,1331.26,4437,950,73,16827.47,18.24,12.64,Norte,Adultos 26-40
2022-02-21,Display,3427.1,3807,28,1,134.51,3427.1,0.04,Sur,Profesionales 41-55
2022-02-28,SEO,1795.52,2244,84,3,440.36,598.51,0.25,Occidente,Adultos 26-40
2022-02-28,Paid Search,3057.17,1222,59,2,496.41,1528.58,0.16,Sur,Adultos 26-40
2022-02-28,Paid Search,2879.85,1151,42,1,252.06,2879.85,0.09,Centro,Profesionales 41-55
2022-02-28,Social,2335.08,1945,52,1,152.17,2335.08,0.07,Norte,Jovenes 18-25
2022-02-28,Social,2493.37,2077,52,1,179.01,2493.37,0.07,Norte,Jovenes 18-25
