delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
DEL-00001,Partner-A,Electrónica,Bicicleta,Express,Sur,Soleado,55.6,13.6,4.6,5.2,No,Completada,3.5,24.61
DEL-00002,Partner-E,Electrónica,Urbano,Estándar,Sur,Lluvioso,44.8,16.2,8.9,5.9,Yes,Retrasada,1.7,25.91
DEL-00003,Partner-C,Electrónica,Moto,Estándar,Norte,Lluvioso,63.8,12.2,12.2,8.7,Yes,Completada,1.2,28.95
DEL-00004,Partner-E,Documentos,Urbano,Express,Norte,Nublado,18.3,5.9,1.6,1.8,No,Completada,3.9,15.72
DEL-00005,Partner-C,Alimentos,Bicicleta,Estándar,Sur,Nublado,21.1,18.7,3.7,3.5,Yes,Retrasada,2.2,14.79
DEL-00006,Partner-E,Alimentos,Bicicleta,Express,Sur,Soleado,60.7,8.1,5.5,5.2,Yes,Retrasada,1.5,23.96
DEL-00007,Partner-D,Alimentos,Bicicleta,Express,Sur,Nublado,42.8,5.4,3.7,4.0,No,Completada,5.0,17.18
DEL-00008,Partner-A,Electrónica,Moto,Express,Sur,Nublado,32.5,1.5,3.6,3.1,Yes,Retrasada,2.7,13.04
DEL-00009,Partner-E,Documentos,Bicicleta,Express,Centro,Lluvioso,13.1,0.3,2.6,1.7,Yes,Retrasada,3.2,5.0
DEL-00010,Partner-E,Alimentos,Urbano,Estándar,Sur,Nublado,71.6,18.5,10.7,9.7,Yes,Retrasada,3.3,40.43
DEL-00011,Partner-C,Alimentos,Moto,Express,Norte,Soleado,55.3,16.4,5.5,5.2,Yes,Retrasada,1.3,39.95
DEL-00012,Partner-E,Alimentos,Bicicleta,Estándar,Sur,Nublado,57.0,13.9,7.7,7.8,No,Completada,4.8,20.91
DEL-00013,Partner-B,Alimentos,Moto,Estándar,Norte,Nublado,42.2,11.9,5.2,5.6,No,Completada,3.6,20.4
DEL-00014,Partner-C,Electrónica,Urbano,Estándar,Occidente,Soleado,41.1,14.5,6.5,6.0,Yes,Retrasada,3.0,27.58
DEL-00015,Partner-B,Electrónica,Moto,Estándar,Centro,Lluvioso,31.7,17.3,6.2,4.3,Yes,Retrasada,2.0,23.73
DEL-00016,Partner-A,Alimentos,Urbano,Express,Occidente,Soleado,32.5,5.7,3.7,3.0,Yes,Completada,3.0,22.59
DEL-00017,Partner-A,Electrónica,Moto,Express,Sur,Soleado,31.4,9.7,3.9,3.2,Yes,Retrasada,1.9,27.23
DEL-00018,Partner-C,Ropa,Bicicleta,Estándar,Occidente,Soleado,15.5,4.5,2.0,2.4,No,Completada,4.0,5.0
