customer_id,total_purchases,avg_order_value,days_since_last_purchase,product_category_preference,email_engagement_score,support_tickets_count,lifetime_value,region,signup_date
CUST-00001,71,133.77,71,Electrónica,0.736,17,3592.45,Barcelona,2020-05-14
CUST-00002,24,121.04,258,Electrónica,0.602,17,1391.34,Madrid,2021-08-23
CUST-00003,115,300.79,3,Deportes,0.759,5,32111.57,Zaragoza,2019-11-28
CUST-00004,56,479.25,172,Hogar,0.102,12,10387.51,Bilbao,2022-10-02
CUST-00005,12,368.92,274,Libros,0.125,12,1642.08,Málaga,2019-08-24
CUST-00006,18,37.22,116,Deportes,0.773,2,716.71,Málaga,2022-11-10
CUST-00007,72,234.9,186,Juguetes,0.163,11,8262.86,Barcelona,2019-07-01
CUST-00008,137,368.63,83,Hogar,0.462,8,60126.59,Barcelona,2021-08-03
CUST-00009,15,126.09,16,Belleza,0.805,12,1023.16,Sevilla,2019-03-09
CUST-00010,128,206.88,329,Deportes,0.459,8,11271.94,Málaga,2022-03-06
CUST-00011,150,208.71,112,Juguetes,0.997,4,23748.29,Bilbao,2018-07-06
CUST-00012,40,319.31,348,Ropa,0.422,2,8254.68,Madrid,2021-05-05
CUST-00013,142,432.48,5,Libros,0.68,3,56102.42,Murcia,2021-01-04
CUST-00014,29,157.35,80,Belleza,0.454,8,5360.33,Bilbao,2022-04-10
CUST-00015,77,423.21,259,Ropa,0.609,4,20742.47,Valencia,2018-11-27
CUST-00016,126,24.45,185,Belleza,0.879,9,1588.12,Madrid,2019-05-09
CUST-00017,125,410.77,272,Ropa,0.766,4,45892.03,Barcelona,2023-04-24
CUST-00018,136,438.13,216,Libros,0.964,17,58378.4,Valencia,2021-11-13
CUST-00019,103,497.65,332,Libros,0.373,16,36205.41,Sevilla,2019-05-23
CUST-00020,87,25.2,283,Ropa,0.23,7,671.91,Sevilla,2021-12-20
CUST-00021,18,454.13,169,Deportes,0.071,7,4501.03,Madrid,2020-09-21
CUST-00022,147,294.46,124,Hogar,0.785,13,20403.5,Sevilla,2018-07-18
CUST-00023,109,214.38,27,Belleza,0.673,20,9080.02,Zaragoza,2020-04-04
CUST-00024,64,107.92,274,Ropa,0.449,13,3212.66,Málaga,2020-08-05
CUST-00025,114,406.89,281,Ropa,0.098,20,55632.6,Sevilla,2022-09-09
CUST-00026,61,95.66,248,Ropa,0.481,12,6489.97,Madrid,2018-12-04
CUST-00027,100,143.62,232,Electrónica,0.285,17,12863.82,Zaragoza,2020-09-23
CUST-00028,76,120.58,29,Deportes,0.579,17,3251.98,Valencia,2019-10-05
CUST-00029,150,246.24,271,Electrónica,0.157,16,13743.9,Madrid,2019-01-16
CUST-00030,61,210.83,291,Ropa,0.246,19,4318.18,Barcelona,2018-06-17
CUST-00031,67,114.07,160,Belleza,0.239,12,3193.04,Zaragoza,2021-08-14
CUST-00032,81,465.57,37,Alimentación,0.009,19,45200.95,Bilbao,2018-07-24
CUST-00033,130,143.62,178,Deportes,0.881,7,11810.54,Barcelona,2018-11-20
CUST-00034,136,18.79,283,Libros,0.299,3,2926.07,Murcia,2018-10-03
CUST-00035,28,375.07,79,Ropa,0.272,19,5141.41,Bilbao,2019-12-04
CUST-00036,130,251.94,26,Libros,0.092,13,34272.34,Sevilla,2018-04-01
CUST-00037,34,324.0,134,Belleza,0.162,14,8774.38,Madrid,2020-05-25
CUST-00038,20,473.35,353,Ropa,0.904,17,3147.07,Madrid,2020-01-27
CUST-00039,33,35.29,186,Juguetes,0.899,1,1291.55,Valencia,2019-03-07
CUST-00040,91,393.36,208,Ropa,0.974,4,40563.31,Sevilla,2019-04-30
CUST-00041,106,27.02,170,Hogar,0.782,13,2927.16,Valencia,2022-11-05
CUST-00042,41,396.88,55,Libros,0.383,1,17455.61,Sevilla,2019-04-01
CUST-00043,90,163.02,116,Alimentación,0.223,6,9663.13,Sevilla,2019-07-25
CUST-00044,90,326.12,204,Libros,0.68,17,17552.8,Barcelona,2018-02-26
CUST-00045,46,296.59,135,Libros,0.038,19,9428.87,Barcelona,2022-02-01
CUST-00046,131,71.09,295,Juguetes,0.19,1,8734.53,Málaga,2018-01-04
CUST-00047,111,48.94,340,Belleza,0.921,19,3164.47,Sevilla,2022-10-03
CUST-00048,130,165.0,209,Libros,0.326,9,17137.93,Barcelona,2019-01-28
CUST-00049,45,313.52,154,Juguetes,0.406,0,8090.99,Zaragoza,2019-03-07
CUST-00050,120,229.27,345,Belleza,0.214,15,27907.53,Zaragoza,2023-05-20
CUST-00051,73,264.99,324,Ropa,0.619,2,20051.91,Valencia,2022-03-19
CUST-00052,58,406.18,75,Libros,0.024,7,27929.53,Sevilla,2021-06-05
CUST-00053,107,444.78,294,Alimentación,0.194,12,35452.76,Barcelona,2019-05-15
CUST-00054,28,392.53,112,Electrónica,0.176,16,7892.47,Valencia,2021-02-15
CUST-00055,117,79.67,237,Ropa,0.668,17,7791.82,Sevilla,2023-04-30
CUST-00056,141,231.27,81,Juguetes,0.744,15,22991.44,Murcia,2022-03-20
CUST-00057,134,250.03,122,Libros,0.275,2,31567.17,Sevilla,2019-04-26
CUST-00058,82,448.12,41,Belleza,0.138,7,23691.21,Bilbao,2018-11-09
CUST-00059,107,212.69,277,Ropa,0.466,1,11063.74,Sevilla,2020-05-10
CUST-00060,148,199.48,3,Electrónica,0.943,9,28877.3,Zaragoza,2022-10-14
CUST-00061,125,121.42,223,Deportes,0.486,12,9144.7,Zaragoza,2021-10-22
CUST-00062,120,460.98,318,Hogar,0.534,12,46063.16,Zaragoza,2021-09-19
CUST-00063,110,80.81,236,Ropa,0.182,8,5699.63,Madrid,2019-03-10
CUST-00064,87,384.2,194,Belleza,0.278,13,17616.67,Murcia,2018-06-17
CUST-00065,139,40.26,179,Electrónica,0.224,2,5613.54,Murcia,2021-08-27
CUST-00066,64,111.69,10,Electrónica,0.621,7,2956.47,Madrid,2021-10-03
CUST-00067,120,354.24,188,Deportes,0.168,19,49623.13,Barcelona,2022-01-11
CUST-00068,80,67.43,13,Hogar,0.929,18,4906.81,Barcelona,2023-05-17
CUST-00069,51,51.86,353,Juguetes,0.831,7,1036.02,Zaragoza,2022-05-02
CUST-00070,145,394.58,177,Ropa,0.533,11,20715.0,Bilbao,2021-08-19
CUST-00071,108,413.83,54,Electrónica,0.434,11,38974.04,Málaga,2022-08-25
CUST-00072,112,100.43,267,Hogar,0.965,8,9609.54,Murcia,2023-02-27
CUST-00073,112,415.48,303,Alimentación,0.268,7,48751.46,Murcia,2018-06-27
CUST-00074,63,378.98,291,Alimentación,0.61,12,14391.27,Bilbao,2020-10-09
CUST-00075,125,117.88,132,Hogar,0.34,19,13719.25,Málaga,2019-07-20
CUST-00076,22,132.06,208,Deportes,0.489,7,2677.39,Madrid,2021-08-15
CUST-00077,5,60.13,113,Alimentación,0.404,7,173.05,Murcia,2021-04-06
CUST-00078,142,272.5,217,Alimentación,0.997,17,23128.47,Málaga,2021-12-10
