employee_id,department,role,monthly_income,years_at_company,job_satisfaction,overtime,attrition_risk,performance_rating,education
1,Ventas,Ejecutivo de Ventas,6289,8,4,Sí,Medio,4,Maestría
2,Operations,Inventory Manager,2854,3,3,Sí,Medio,4,Secundaria
3,Legal,Paralegal,9699,18,4,No,Bajo,1,Maestría
4,RRHH,Compensation Analyst,4217,5,5,Sí,Medio,3,Licenciatura
5,Ventas,Account Manager,4930,12,4,No,Bajo,5,Licenciatura
6,TI,Arquitecto de Software,9146,20,4,No,Bajo,4,Maestría
7,Ingeniería,Data Scientist,5602,10,3,Sí,Medio,3,Licenciatura
8,Soporte,Help Desk Analyst,3125,7,4,No,Medio,4,Licenciatura
9,Ventas,Enterprise Sales Rep,7852,18,5,Sí,Medio,4,Maestría
10,Legal,Paralegal,6876,2,5,Sí,Medio,4,Maestría
11,TI,Database Administrator,5357,19,5,No,Bajo,4,Secundaria
12,RRHH,Director de RRHH,5464,18,4,No,Bajo,3,Licenciatura
13,Operations,Inventory Manager,3701,5,2,No,Medio,4,Licenciatura
14,TI,Arquitecto de Software,6770,20,4,No,Bajo,5,Licenciatura
15,Ingeniería,Data Scientist,8887,18,3,No,Bajo,3,Maestría
16,Ingeniería,Platform Engineer,9222,9,4,Sí,Medio,2,Doctorado
17,Finanzas,Cost Accountant,6354,5,4,No,Bajo,4,Maestría
18,Ingeniería,SRE Engineer,3773,1,5,Sí,Medio,5,Licenciatura
19,Finanzas,Financial Analyst,5133,19,2,Sí,Alto,4,Secundaria
20,RRHH,Training Manager,7492,18,3,Sí,Medio,5,Maestría
21,TI,Network Engineer,9077,7,3,No,Bajo,5,Doctorado
22,Investigación,Científico de Datos,4767,3,1,No,Medio,4,Licenciatura
23,Operations,Warehouse Supervisor,2740,2,3,Sí,Alto,4,Secundaria
24,Finanzas,Internal Auditor,4459,5,3,No,Bajo,3,Licenciatura
25,TI,Network Engineer,5666,14,4,No,Bajo,4,Licenciatura
26,Ventas,Ejecutivo de Ventas,4810,11,3,Sí,Medio,3,Licenciatura
27,Investigación,Research Analyst,5246,9,3,No,Bajo,5,Licenciatura
28,Legal,Abogado Corporativo,6070,18,5,Sí,Medio,5,Secundaria
29,Marketing,Gerente de Marketing,5503,16,2,Sí,Alto,1,Licenciatura
30,TI,Database Administrator,10824,15,3,No,Bajo,5,Doctorado
