transaction_id,user_id,amount,timestamp,card_last4,ip_address,country,device_type,is_fraud,fraud_type,velocity_score,account_age_days
T00001,2824,527.54,2024-01-15 09:05:05,2535,190.44.216.9,CN,tablet,1,velocity_fraud,74,23
T00002,4582,303.0,2024-01-15 08:14:11,3615,66.229.142.208,ES,desktop,0,none,18,844
T00003,7924,81.96,2024-01-15 20:31:22,5333,107.49.183.217,MX,mobile,0,none,25,1408
T00004,1711,270.43,2024-01-15 10:31:56,1750,170.185.98.181,ES,desktop,0,none,13,352
T00005,4733,492.68,2024-01-15 21:28:40,6820,81.232.186.42,MX,desktop,0,none,8,3579
T00006,4432,352.4,2024-01-16 00:49:49,7216,172.87.125.42,MX,tablet,0,none,22,2684
T00007,5422,321.8,2024-01-15 17:44:53,2084,68.16.161.103,AR,mobile,0,none,18,929
T00008,4456,285.75,2024-01-15 17:38:38,3287,137.202.234.37,US,tablet,0,none,23,1318
T00009,5040,271.79,2024-01-16 02:33:04,9085,112.185.112.36,CO,tablet,0,none,24,2424
T00010,2489,431.25,2024-01-16 05:41:44,8668,118.32.197.98,US,tablet,0,none,5,2600
T00011,9669,278.85,2024-01-15 18:41:09,8123,147.136.174.29,MX,tablet,0,none,1,2816
T00012,3591,477.14,2024-01-16 07:15:48,9317,139.54.152.216,ES,mobile,0,none,24,1108
T00013,4258,382.44,2024-01-15 12:04:22,6947,163.165.250.5,ES,mobile,0,none,18,3219
T00014,6038,124.23,2024-01-16 01:18:16,3705,134.35.64.33,MX,tablet,0,none,19,352
T00015,5342,305.26,2024-01-16 02:50:39,8397,89.204.191.113,US,tablet,0,none,7,2238
T00016,2982,36.69,2024-01-16 06:58:39,1964,160.112.3.19,ES,mobile,0,none,1,2439
T00017,4750,43.05,2024-01-15 12:49:02,8744,172.248.109.139,RU,desktop,1,card_testing,72,16
T00018,4981,404.71,2024-01-16 01:00:13,1887,120.181.216.106,MX,tablet,0,none,7,416
T00019,2612,1611.16,2024-01-15 14:40:50,5563,138.229.71.109,RU,mobile,1,velocity_fraud,73,7
T00020,8579,462.02,2024-01-15 16:36:22,3724,22.7.47.238,ES,mobile,0,none,15,3339
T00021,7658,110.8,2024-01-16 00:33:58,5673,10.199.135.238,US,desktop,0,none,13,270
T00022,7930,366.6,2024-01-15 10:07:45,9883,58.151.111.248,CO,mobile,0,none,18,2741
T00023,1998,33.3,2024-01-15 14:45:56,2122,50.29.41.218,ES,tablet,0,none,19,1982
T00024,2113,121.43,2024-01-16 07:56:03,9565,162.20.41.108,US,tablet,0,none,4,2363
T00025,6183,106.11,2024-01-15 19:30:41,2188,111.67.153.118,US,desktop,0,none,23,1316
T00026,1152,499.23,2024-01-15 20:42:25,2127,139.135.67.239,ES,mobile,0,none,4,330
T00027,5002,83.08,2024-01-15 11:46:17,3200,177.4.153.239,AR,tablet,0,none,18,2911
T00028,5333,37.25,2024-01-16 07:05:30,5325,54.175.104.176,NG,tablet,1,card_testing,74,8
T00029,9280,453.14,2024-01-15 12:45:46,5291,21.1.170.198,CO,desktop,0,none,2,408
T00030,3647,278.08,2024-01-15 21:26:33,3426,29.76.18.214,MX,mobile,0,none,14,2327
T00031,8041,761.07,2024-01-16 04:23:05,7658,54.127.52.91,CN,desktop,1,velocity_fraud,99,25
T00032,3532,122.18,2024-01-15 22:59:24,5065,16.91.170.201,US,desktop,0,none,6,3306
T00033,5371,352.13,2024-01-15 19:06:41,4728,66.102.235.90,MX,desktop,0,none,13,3602
T00034,4652,2112.64,2024-01-15 09:00:17,2889,90.204.169.241,CN,desktop,1,account_takeover,78,27
T00035,5279,481.45,2024-01-16 06:04:17,9379,121.176.160.112,MX,tablet,0,none,9,186
T00036,2894,290.41,2024-01-15 10:32:51,6409,143.100.186.111,CO,mobile,0,none,9,211
T00037,6143,66.69,2024-01-15 18:45:52,3085,114.167.206.179,AR,tablet,0,none,10,2107
T00038,4143,470.48,2024-01-15 08:00:53,5978,155.154.207.141,US,tablet,0,none,22,3094
T00039,5700,393.95,2024-01-16 01:13:41,3780,123.226.109.131,AR,desktop,0,none,20,2711
T00040,2389,333.61,2024-01-15 15:15:00,3414,182.158.115.207,MX,mobile,0,none,20,1402
T00041,1400,309.52,2024-01-15 22:33:03,4997,162.99.196.127,BR,desktop,1,friendly_fraud,94,2
T00042,3417,7.74,2024-01-16 04:17:40,5082,66.90.237.13,MX,desktop,0,none,25,3554
T00043,2988,401.7,2024-01-16 03:56:50,8305,91.226.218.213,ES,tablet,0,none,22,2205
T00044,3607,239.96,2024-01-16 00:00:54,2269,80.248.122.71,US,tablet,0,none,9,3109
T00045,5681,171.24,2024-01-15 15:47:23,2052,69.196.78.181,US,mobile,0,none,18,360
T00046,7797,273.59,2024-01-15 08:12:52,6763,109.10.194.123,US,desktop,0,none,14,285
T00047,5892,427.46,2024-01-15 23:52:05,8956,66.249.112.70,ES,tablet,0,none,14,2234
T00048,1475,336.09,2024-01-16 04:32:55,1444,42.13.201.152,US,desktop,0,none,13,2996
T00049,2375,72.17,2024-01-15 19:54:00,6529,107.167.108.117,MX,desktop,0,none,15,774
T00050,7211,475.85,2024-01-16 07:40:15,2124,14.26.179.58,MX,desktop,0,none,14,1063
T00051,1659,475.06,2024-01-15 12:09:53,4571,49.122.64.122,MX,tablet,0,none,7,3467
T00052,8619,384.61,2024-01-16 05:04:09,1420,39.83.159.28,ES,tablet,0,none,6,2511
T00053,6111,454.47,2024-01-15 18:58:49,2983,161.124.52.179,US,mobile,0,none,13,1654
T00054,1672,217.05,2024-01-16 01:50:51,2729,97.6.215.211,ES,tablet,0,none,12,312
T00055,8102,319.61,2024-01-15 23:51:31,5397,55.138.247.120,US,desktop,0,none,15,2927
T00056,6280,416.21,2024-01-16 01:59:49,6325,128.194.172.8,CO,mobile,0,none,3,1172
T00057,3979,180.64,2024-01-15 14:57:22,2402,189.141.5.133,AR,tablet,0,none,9,1424
T00058,4954,246.85,2024-01-15 08:37:40,2524,192.251.229.203,CO,tablet,0,none,25,1014
T00059,5820,347.43,2024-01-16 04:02:20,6419,131.176.217.191,ES,desktop,0,none,10,2749
T00060,6764,139.1,2024-01-16 03:30:36,4033,59.161.61.191,MX,tablet,0,none,9,974
T00061,4138,244.68,2024-01-15 16:16:56,6912,82.51.99.76,ES,tablet,0,none,24,2444
T00062,3939,355.47,2024-01-16 01:52:20,2680,151.149.64.164,MX,mobile,0,none,5,1153
T00063,1200,237.35,2024-01-15 10:22:44,7565,74.244.58.211,US,mobile,0,none,15,1425
